动作,执行线,状态,归属,交付物/验收,实际情况记录,截止日期,开始日期,承接人,阻塞/待确认,任务编号,父任务
让附近下班客人把河畔店当作一人晚餐选项,经营统筹,未开始,河畔店,晚餐信息在平台可见、可买、可到店兑现；形成首轮观察及继续/调整结论，不凭内容发布判项目完成,,,,,运营推进人及具体排期待确认；付费投放单独待拍板。,HP203004-P1,
核对一人晚餐可售条件与套餐信息,产品承接,未开始,河畔店,确认套餐包含、价格、适用时段、单人可购买及用餐、是否预约、平台购买入口；未知逐项列出，不写低消/无低消等未经确认承诺,,,,,建议运营牵头、店长核实；D0当天；姓名和D0日期待确认。,HP203004-T1,HP203004-P1
核查20分钟等餐出现条件并确定真实提示,现场兑现,未开始,河畔店,抽取一个普通工作日晚餐时段和一个相对忙时段，记录下单到首道/齐餐分钟数、客量和缺货；店长说明20分钟是偶发还是常态，确定等餐提示和可做的备餐调整,,,,,建议店长承接；D0—D0+2日；具体采样日待确认。不承诺快餐/几分钟上桌。,HP203004-T2,HP203004-P1
完成本周一人晚餐页面设计稿,页面表达,未开始,河畔店,至少交付平台首图与套餐信息图；真实餐品和一人份量优先，明确一人用餐场景、可售时段和入口；价格等使用核实信息；用手机检查可读性,,,,,设计本周可做图为用户报告；建议设计制作、运营验稿；本周实际日期待确认。依赖T1资料确认；T2结论未出时不写速度承诺。 前置：HP203004-T1。；前置：HP203004-T1,HP203004-T3,HP203004-P1
替换平台前台展示并走一遍购买路径,平台承接,未开始,河畔店,按实际平台权限更新首屏/套餐图文，保留音乐周末信息在合适位置；手机实测从首页到套餐购买/咨询，到店核销口径一致并保存截图,,,,,建议平台操作人承接；T3验收后1日内；姓名、平台和实际日期待确认。 前置：HP203004-T1。 前置：HP203004-T2。 前置：HP203004-T3。；前置：HP203004-T1、HP203004-T2、HP203004-T3,HP203004-T4,HP203004-P1
发布一人下班晚餐自有内容并接住问询,自有内容,未开始,河畔店,交付一条真实餐品与单人座位内容，说明下班后一个人也能来吃晚餐，使用核实的时段/位置/入口；运营保存发布版本和相关问询，不加达人,,,,,建议运营承接；页面修正后启动；现有餐品/座位素材、账号与日期待确认。无素材时先拍店内现成餐品与座位。 前置：HP203004-T4。 前置：HP203004-T6。；前置：HP203004-T4、HP203004-T6,HP203004-T5,HP203004-P1
统一店员问询及等餐提示,门店配合,未开始,河畔店,交付短话术并让当班人员能说清一人能否用餐、套餐入口、可售时间及实时等餐；抽查一次实际问询记录,,,,,建议店长承接；内容发布前完成；当班人员、具体日期待确认。 前置：HP203004-T1。 前置：HP203004-T2。；前置：HP203004-T1、HP203004-T2,HP203004-T6,HP203004-P1
决定是否开展小额投放及其边界,推广决策,待拍板,河畔店,负责人选择先不投/另批试投；若试投，明确金额上限、周期、对象、落地页、指标和停止条件后，另拆执行；本行不授权花钱,,,,,投放金额尚未确定；负责人姓名待确认。建议页面可见、购买顺畅、现场可兑现后再决定。 前置：HP203004-T4。 前置：HP203004-T6。；前置：HP203004-T4、HP203004-T6,HP203004-T7,HP203004-P1
回收首轮顾客反应并决定第二轮修改,效果回收,未开始,河畔店,用同一口径记录更新前可获得的基线和上线后首7天的一人晚餐相关问询、可识别订单、等餐反馈；写清样本/缺数/同期变化，提出继续、调整或停止，不能把点击等同到店,,,,,建议运营汇总、店长补现场；首轮上线满7天回收。历史基线若无则记未知，从上线开始记录。 前置：HP203004-T4。 前置：HP203004-T5。 前置：HP203004-T6。；前置：HP203004-T4、HP203004-T5、HP203004-T6,HP203004-T8,HP203004-P1
保持周末音乐正常开展,常规维护,未开始,河畔店,周末音乐安排按原范围正常落地，晚餐主线没有被素材或现场占用挤掉；按实际反馈检查冲突,,,,,用户已定保留；不增加达人。推进人及四月场次未提供。,HP203004-P2,
核对既有周末音乐安排与人员,现场排期,未开始,河畔店,沿用已有效安排，列出四月实际场次和负责人；识别晚餐/音乐的空间、人员和服务冲突，必要时调整对应时段说明,,,,,建议店长承接；首次周末宣传前核对；已定场次、人员和具体日期待确认。,HP203004-T9,HP203004-P2
维护周末音乐信息并回收现场异常,日常维护,未开始,河畔店,只更新真实场次；音乐视觉不再次占满晚餐入口；记录周末等餐和座位冲突，反馈到P1需要修改的承诺,,,,,建议运营承接；随已定周末场次维护；素材、承接人、日期待确认。 前置：HP203004-T9。；前置：HP203004-T9,HP203004-T10,HP203004-P2
